id,quote,slug,backgroundImage,keywords,metaDesc,author,postStatus,likes,category_id
1,"I never dreamed about success, I worked for it.",never-dreamed-success-worked,static/images/afif-kusuma-jl4BQJs87Do-unsplash.jpg,"I never dreamed about success, I worked for it.","I never dreamed about success, I worked for it.",Estée Lauder,1,778,1
2,"If you are not willing to risk the usual, you will have to settle for the ordinary.",not-willing-risk-usual-will-settle-ordinary,static/images/success.jpg,"If you are not willing to risk the usual, you will have to settle for the ordinary.","If you are not willing to risk the usual, you will have to settle for the ordinary.",Jim Rohn,1,61,1
3,Do one thing every day that scares you.,one-thing-every-day-scares,static/images/facts.jpg,Do one thing every day that scares you.,Do one thing every day that scares you.,,1,22,1
4,Adopting the right attitude can convert a negative stress into a positive one.,adopting-right-attitude-can-convert-negative-stres,static/images/attitude2.jpg,Adopting the right attitude can convert a negative stress into a positive one.,Adopting the right attitude can convert a negative stress into a positive one.,Hans Selye,1,100,2
5,To be trusted is a greater compliment than being loved.,trusted-greater-compliment-loved,static/images/attitude.jpg,To be trusted is a greater compliment than being loved.,To be trusted is a greater compliment than being loved.,George MacDonald,1,17,2
6,Attitudes are more important than facts.,attitudes-important-facts,static/images/attitude2_c8rDX2Q.jpg,Attitudes are more important than facts.,Attitudes are more important than facts.,George MacDonald,1,5,2
7,The principle part of faith is patience.,principle-part-faith-patience,static/images/attitude_TfIKm8N.jpg,The principle part of faith is patience.,The principle part of faith is patience.,George MacDonald,1,16,2
8,"Today is not the end of another year, but the start of a new one. Happy birthday.",today-not-end-another-year-start-new-one-happy-bir,static/images/birthday.jpg,"Today is not the end of another year, but the start of a new one. Happy birthday.","Today is not the end of another year, but the start of a new one. Happy birthday.",,1,1,3
9,Happy moments. Happy thoughts. Happy dreams. Happy feelings. Happy birthday.,happy-moments-happy-thoughts-happy-dreams-happy-fe,static/images/birthday_y0U4BuX.jpg,Happy moments. Happy thoughts. Happy dreams. Happy feelings. Happy birthday.,Happy moments. Happy thoughts. Happy dreams. Happy feelings. Happy birthday.,,1,0,3
10,Having the opportunity to wish a happy birthday and celebrate the life of a great friend like you is a true gift.,opportunity-wish-happy-birthday-celebrate-life-gre,static/images/birthday_pyBisIE.jpg,Having the opportunity to wish a happy birthday and celebrate the life of a great friend like you is a true gift.,Having the opportunity to wish a happy birthday and celebrate the life of a great friend like you is a true gift.,,1,1,3
11,Happy birthday! You are only young once so enjoy it to the fullest. Time passes way too fast and you don’t get these years back.,happy-birthday-young-enjoy-fullest-time-passes-way,static/images/birthday_U9Vu2Gl.jpg,Happy birthday! You are only young once so enjoy it to the fullest. Time passes way too fast and you don’t get these years back.,Happy birthday! You are only young once so enjoy it to the fullest. Time passes way too fast and you don’t get these years back.,,1,0,3
12,"Friendship is the hardest thing in the world to explain. It’s not something you learn in school. But if you haven’t learned the meaning of friendship, you really haven’t learned anything.",friendship-hardest-thing-world-explain-not-somethi,static/images/friendship.jpg,"Friendship is the hardest thing in the world to explain. It’s not something you learn in school. But if you haven’t learned the meaning of friendship, you really haven’t learned anything.","Friendship is the hardest thing in the world to explain. It’s not something you learn in school. But if you haven’t learned the meaning of friendship, you really haven’t learned anything.",Muhammad Ali,1,0,4
13,"Life is partly what we make it, and partly what it is made by the friends we choose.",life-partly-make-partly-made-friends-choose,static/images/friendship_eWSTLB7.jpg,"Life is partly what we make it, and partly what it is made by the friends we choose.","Life is partly what we make it, and partly what it is made by the friends we choose.",Tennessee Williams,1,1,4
14,The best and most beautiful things in the world cannot be seen or even touched — they must be felt with the heart.,best-beautiful-things-world-cannot-seen-even-touch,static/images/friendship_k3e6cHh.jpg,The best and most beautiful things in the world cannot be seen or even touched — they must be felt with the heart,The best and most beautiful things in the world cannot be seen or even touched — they must be felt with the heart,,1,0,4
15,"It’s not what we have in life, but who we have in our life that matters.",not-life-life-matters,static/images/love.jpg,"It’s not what we have in life, but who we have in our life that matters.","It’s not what we have in life, but who we have in our life that matters.",Unknown,1,0,4
16,A day without laughter is a day wasted.,day-without-laughter-day-wasted,static/images/facts_funny.jpg,A day without laughter is a day wasted.,A day without laughter is a day wasted.,Charlie Chaplin,1,9,5
17,Start every day off with a smile and get it over with.,start-every-day-off-smile-get,static/images/facts_funny_kk6HXn3.jpg,Start every day off with a smile and get it over with.,Start every day off with a smile and get it over with.,,1,2,5
18,Laughter is an instant vacation.,laughter-instant-vacation,static/images/facts_funny_xZyPyQj.jpg,Laughter is an instant vacation.,Laughter is an instant vacation.,,1,0,5
19,"I live to laugh, and I laugh to live.",live-laugh-laugh-live,static/images/attitude2_zC1iEFB.jpg,"I live to laugh, and I laugh to live.","I live to laugh, and I laugh to live.",Milton Berle,1,0,5
20,It’s hard to beat a person who never gives up.,hard-beat-person-never-gives,static/images/positivie.jpg,It’s hard to beat a person who never gives up.,It’s hard to beat a person who never gives up.,,1,1,6
21,Everything you can imagine is real,everything-can-imagine-real,static/images/positivie_ffbPGLH.jpg,Everything you can imagine is real,Everything you can imagine is real,,1,0,6
22,"Whatever you are, be a good one.",whatever-good-one,static/images/1785039283-8c74508fd988204a5844d754a66e2787.jpg,"Whatever you are, be a good one.","Whatever you are, be a good one.",,1,0,6
23,Your passion is waiting for your courage to catch up.,passion-waiting-courage-catch,static/images/positivie_VPJaBJL.jpg,Your passion is waiting for your courage to catch up.,Your passion is waiting for your courage to catch up.,,1,0,6
